book_name,author_name,category_name,category_description,categories_data
Brave New World,"
Aldous Huxley

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Content Warnings ,Style ,Purpose ","
        Medium paced
      ,
        Fast paced
      ,
        Exciting
      ,
        Engaging
      ,
        Effective explanations
      ,
        Clearly written
      ,
        Intermediate
      ,
        Focused
      ,
        Comprehensive
      ,
        Fiction
      ,
        Sci-fi
      ,
        Philosophical
      ,
        Classic
      ,
        Drama
      ,
        Suspenseful
      ,
        Strange
      ,
        Dark
      ,
        Scientific
      ,
        Reflective
      ,
        Highly recommend
      ,
        Quotable
      ,
        Life changing
      ,
        Medium
      ,
        Objective
      ,
        Accurate
      ,
        Adult themes
      ,
        Technical
      ,
        Learn about
      ,
        Entertainment
      ","
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        50%
      ,
        50%
      ,
        28%
      ,
        28%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        28%
      ,
        28%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        50%
      ,
        25%
      ,
        25%
      ,
        100%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        100%
      ,
        50%
      ,
        50%
      "
The Time Machine,"
H. G. Wells

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Content Warnings ,Purpose ","
        Medium paced
      ,
        Engaging
      ,
        Exciting
      ,
        Dense
      ,
        Effective explanations
      ,
        Clearly written
      ,
        Advanced
      ,
        Intermediate
      ,
        Comprehensive
      ,
        Shallow
      ,
        Sci-fi
      ,
        Fiction
      ,
        Mystery
      ,
        Memoir
      ,
        Exploratory
      ,
        Mysterious
      ,
        Gloomy
      ,
        Suspenseful
      ,
        Dark
      ,
        Strange
      ,
        Lonely
      ,
        Scientific
      ,
        Original
      ,
        Overhyped
      ,
        Recommend
      ,
        Citable
      ,
        Highly recommend
      ,
        Short
      ,
        Medium
      ,
        Evergreen
      ,
        Controversial
      ,
        Chapters
      ,
        Appendix
      ,
        Trigger warnings
      ,
        Entertainment
      ,
        Broaden perspective
      ","
        100%
      ,
        66%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        28%
      ,
        28%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        25%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        33%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        50%
      ,
        50%
      "
The Prince and the Pauper,"
Mark Twain

",Length ,"
        Medium
      ","
        100%
      "
The Hitch Hiker's Guide to the Galaxy,"
Douglas Adams

","Pace ,Enjoyability ,Clarity ,Genres ,Mood ,Impressions ,Credibility ,Content Warnings ,Purpose ","
        Fast paced
      ,
        Engaging
      ,
        Exciting
      ,
        Effective explanations
      ,
        Confusing
      ,
        Disorganized
      ,
        Action
      ,
        Sci-fi
      ,
        Humor
      ,
        Fiction
      ,
        Whimsical
      ,
        Humorous
      ,
        Highly recommend
      ,
        Quotable
      ,
        Accurate
      ,
        Adult themes
      ,
        Entertainment
      ","
        100%
      ,
        50%
      ,
        50%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        100%
      ,
        100%
      "
Koralina,"
Neil Gaiman

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Features ,Purpose ","
        Fast paced
      ,
        Boring
      ,
        Neutral
      ,
        Engaging
      ,
        Clearly written
      ,
        Intermediate
      ,
        Focused
      ,
        Fiction
      ,
        Fantasy
      ,
        Classic
      ,
        Mystery
      ,
        Lonely
      ,
        Dark
      ,
        Ominous
      ,
        Gloomy
      ,
        Mysterious
      ,
        Original
      ,
        Overhyped
      ,
        Recommend
      ,
        Short
      ,
        Illustrations
      ,
        Entertainment
      ","
        100%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      ,
        100%
      ,
        100%
      "
New Moon,"
Stephenie Meyer

",Enjoyability ,"
        Exciting
      ,
        Engaging
      ","
        50%
      ,
        50%
      "
The Green Mile,"
Stephen King

","Pace ,Enjoyability ,Difficulty ,Genres ,Mood ,Impressions ,Length ,Content Warnings ,Purpose ","
        Medium paced
      ,
        Exciting
      ,
        Intermediate
      ,
        Paranormal
      ,
        Dark
      ,
        Tense
      ,
        Lonely
      ,
        Mysterious
      ,
        Melancholy
      ,
        Emotional
      ,
        Strange
      ,
        Recommend
      ,
        Long
      ,
        Adult themes
      ,
        Trigger warnings
      ,
        Offensive language
      ,
        Entertainment
      ","
        100%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        100%
      ,
        100%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      "
The Shining,"
Stephen King

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Content Warnings ,Style ,Purpose ","
        Slow paced
      ,
        Medium paced
      ,
        Exciting
      ,
        Engaging
      ,
        Boring
      ,
        Clearly written
      ,
        Disorganized
      ,
        Juvenile
      ,
        Beginner
      ,
        Extraneous
      ,
        Not comprehensive
      ,
        Shallow
      ,
        Introductory
      ,
        Focused
      ,
        Horror
      ,
        Drama
      ,
        Satire
      ,
        Fantasy
      ,
        Encyclopedia
      ,
        Nonfiction
      ,
        Humor
      ,
        Paranormal
      ,
        Textbook
      ,
        Exploratory
      ,
        Action
      ,
        Crime
      ,
        Memoir
      ,
        Graphical
      ,
        Research
      ,
        Dictionary
      ,
        Sci-fi
      ,
        Philosophical
      ,
        Technical
      ,
        How-to
      ,
        Reference
      ,
        Anthology
      ,
        Biographical
      ,
        Essay
      ,
        Romance
      ,
        Based on a true story
      ,
        Biography
      ,
        Classic
      ,
        Fiction
      ,
        Mystery
      ,
        Review
      ,
        Poetry
      ,
        Fearful
      ,
        Ominous
      ,
        Suspenseful
      ,
        Tense
      ,
        Emotional
      ,
        Dark
      ,
        Lonely
      ,
        Mysterious
      ,
        Hopeful
      ,
        Calm
      ,
        Informative
      ,
        Whimsical
      ,
        Lighthearted
      ,
        Humorous
      ,
        Reflective
      ,
        Cheerful
      ,
        Angry
      ,
        Idyllic
      ,
        Gloomy
      ,
        Romantic
      ,
        Inspiring
      ,
        Scientific
      ,
        Sad
      ,
        Dry
      ,
        Melancholy
      ,
        Strange
      ,
        Highly recommend
      ,
        Don't recommend
      ,
        Long
      ,
        Medium
      ,
        Short
      ,
        Outdated
      ,
        Trendy
      ,
        Chapters
      ,
        Adult themes
      ,
        Graphic imagery
      ,
        Racism
      ,
        Offensive language
      ,
        Trigger warnings
      ,
        Insensitivity
      ,
        Slang
      ,
        Technical
      ,
        Entertainment
      ,
        How-to
      ","
        66%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        50%
      ,
        50%
      ,
        66%
      ,
        33%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        10%
      ,
        5%
      ,
        5%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        5%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        2%
      ,
        66%
      ,
        33%
      ,
        50%
      ,
        25%
      ,
        25%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        25%
      ,
        25%
      ,
        16%
      ,
        16%
      ,
        8%
      ,
        8%
      ,
        75%
      ,
        25%
      ,
        66%
      ,
        33%
      "
The Stand,"
Stephen King

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Content Warnings ,Style ,Purpose ","
        Slow paced
      ,
        Medium paced
      ,
        Engaging
      ,
        Dense
      ,
        Advanced
      ,
        Comprehensive
      ,
        Action
      ,
        Fantasy
      ,
        Mystery
      ,
        Horror
      ,
        Paranormal
      ,
        Mysterious
      ,
        Dark
      ,
        Tense
      ,
        Suspenseful
      ,
        Ominous
      ,
        Gloomy
      ,
        Recommend
      ,
        Long
      ,
        Subjective
      ,
        Outdated
      ,
        Controversial
      ,
        Chapters
      ,
        Illustrations
      ,
        Adult themes
      ,
        Racism
      ,
        Graphic imagery
      ,
        Insensitivity
      ,
        Offensive language
      ,
        Trigger warnings
      ,
        Slang
      ,
        Neologisms
      ,
        Entertainment
      ","
        50%
      ,
        50%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        100%
      ,
        100%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        50%
      ,
        50%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        50%
      ,
        50%
      ,
        100%
      "
Pet Sematary,"
Stephen King

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Content Warnings ,Purpose ","
        Fast paced
      ,
        Engaging
      ,
        Exciting
      ,
        Clearly written
      ,
        Well organized
      ,
        Effective explanations
      ,
        Intermediate
      ,
        Advanced
      ,
        Comprehensive
      ,
        Shallow
      ,
        Paranormal
      ,
        Mystery
      ,
        Horror
      ,
        Fiction
      ,
        Dark
      ,
        Suspenseful
      ,
        Mysterious
      ,
        Sad
      ,
        Fearful
      ,
        Tense
      ,
        Strange
      ,
        Ominous
      ,
        Gloomy
      ,
        Emotional
      ,
        Melancholy
      ,
        Lonely
      ,
        Highly recommend
      ,
        Forgettable
      ,
        Original
      ,
        Quotable
      ,
        Medium
      ,
        Long
      ,
        Trendy
      ,
        Accurate
      ,
        Objective
      ,
        Evergreen
      ,
        Chapters
      ,
        Adult themes
      ,
        Graphic imagery
      ,
        Entertainment
      ","
        100%
      ,
        50%
      ,
        50%
      ,
        50%
      ,
        33%
      ,
        16%
      ,
        66%
      ,
        33%
      ,
        75%
      ,
        25%
      ,
        33%
      ,
        33%
      ,
        16%
      ,
        16%
      ,
        13%
      ,
        13%
      ,
        9%
      ,
        9%
      ,
        9%
      ,
        9%
      ,
        9%
      ,
        9%
      ,
        4%
      ,
        4%
      ,
        4%
      ,
        4%
      ,
        50%
      ,
        16%
      ,
        16%
      ,
        16%
      ,
        66%
      ,
        33%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        100%
      ,
        66%
      ,
        33%
      ,
        100%
      "
