book_name,author_name,category_name,category_description,categories_data
Pollyanna,"
Eleanor Hodgman Porter

",Enjoyability ,"
        Exciting
      ","
        100%
      "
The Prince and the Pauper,"
Mark Twain

",Length ,"
        Medium
      ","
        100%
      "
The A.B.C. Murders,"
Agatha Christie

","Enjoyability ,Clarity ,Credibility ","
        Engaging
      ,
        Incomprehensible
      ,
        Accurate
      ","
        100%
      ,
        100%
      ,
        100%
      "
Koralina,"
Neil Gaiman

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Features ,Purpose ","
        Fast paced
      ,
        Boring
      ,
        Neutral
      ,
        Engaging
      ,
        Clearly written
      ,
        Intermediate
      ,
        Focused
      ,
        Fiction
      ,
        Fantasy
      ,
        Classic
      ,
        Mystery
      ,
        Lonely
      ,
        Dark
      ,
        Ominous
      ,
        Gloomy
      ,
        Mysterious
      ,
        Original
      ,
        Overhyped
      ,
        Recommend
      ,
        Short
      ,
        Illustrations
      ,
        Entertainment
      ","
        100%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        20%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      ,
        100%
      ,
        100%
      "
Ten Little Indians,"
Agatha Christie

","Difficulty ,Content Warnings ","
        Beginner
      ,
        Racism
      ","
        100%
      ,
        100%
      "
Lolita,"
Vladimir Nabokov

",Clarity ,"
        Clearly written
      ,
        Well organized
      ,
        Effective explanations
      ","
        33%
      ,
        33%
      ,
        33%
      "
The Great Gatsby,"
F. Scott Fitzgerald

","Enjoyability ,Breadth ,Impressions ,Length ","
        Neutral
      ,
        Comprehensive
      ,
        Overhyped
      ,
        Medium
      ","
        100%
      ,
        100%
      ,
        100%
      ,
        100%
      "
El Principito / The Little Prince,"
Antoine de Saint-Exupéry

","Pace ,Enjoyability ,Clarity ,Difficulty ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Purpose ","
        Meandering
      ,
        Fast paced
      ,
        Engaging
      ,
        Clearly written
      ,
        Succinct
      ,
        Effective explanations
      ,
        Intermediate
      ,
        Juvenile
      ,
        Layman
      ,
        Beginner
      ,
        Fiction
      ,
        Philosophical
      ,
        Classic
      ,
        Exploratory
      ,
        Emotional
      ,
        Romantic
      ,
        Strange
      ,
        Whimsical
      ,
        Reflective
      ,
        Lonely
      ,
        Sad
      ,
        Life changing
      ,
        Highly recommend
      ,
        Short
      ,
        Evergreen
      ,
        Illustrations
      ,
        Chapters
      ,
        Hope
      ,
        Broaden perspective
      ,
        Inspiration
      ,
        Entertainment
      ","
        50%
      ,
        50%
      ,
        100%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        25%
      ,
        33%
      ,
        33%
      ,
        16%
      ,
        16%
      ,
        22%
      ,
        22%
      ,
        11%
      ,
        11%
      ,
        11%
      ,
        11%
      ,
        11%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        100%
      ,
        66%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        16%
      ,
        16%
      "
Adventures of Sherlock Holmes,"
Arthur Conan Doyle

","Pace ,Enjoyability ,Genres ,Mood ,Impressions ,Length ,Credibility ,Features ,Content Warnings ,Style ,Purpose ","
        Medium paced
      ,
        Meandering
      ,
        Neutral
      ,
        Exciting
      ,
        Engaging
      ,
        Crime
      ,
        Based on a true story
      ,
        Poetry
      ,
        Action
      ,
        Fantasy
      ,
        Humor
      ,
        Technical
      ,
        Horror
      ,
        Strange
      ,
        Emotional
      ,
        Lonely
      ,
        Fearful
      ,
        Scientific
      ,
        Dark
      ,
        Sad
      ,
        Angry
      ,
        Actionable
      ,
        Recommend
      ,
        Highly recommend
      ,
        Short
      ,
        Long
      ,
        Subjective
      ,
        Controversial
      ,
        Accurate
      ,
        Chapters
      ,
        Illustrations
      ,
        Tables, diagrams, and figures
      ,
        Table of contents
      ,
        Racism
      ,
        Adult themes
      ,
        Technical
      ,
        Entertainment
      ,
        Learn about
      ,
        Self-help
      ,
        Problem solving
      ,
        Inspiration
      ,
        Broaden perspective
      ,
        Hope
      ","
        50%
      ,
        50%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        12%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        50%
      ,
        50%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        16%
      ,
        16%
      ,
        50%
      ,
        50%
      ,
        100%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      ,
        14%
      "
Daddy-Long-Legs,"
Jean Webster

","Pace ,Enjoyability ,Clarity ,Difficulty ,Breadth ,Genres ,Mood ,Impressions ,Length ,Credibility ,Purpose ","
        Medium paced
      ,
        Exciting
      ,
        Clearly written
      ,
        Beginner
      ,
        Comprehensive
      ,
        Humor
      ,
        Satire
      ,
        Humorous
      ,
        Cheerful
      ,
        Calm
      ,
        Highly recommend
      ,
        Short
      ,
        Trendy
      ,
        Entertainment
      ,
        Broaden perspective
      ","
        100%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        50%
      ,
        50%
      ,
        33%
      ,
        33%
      ,
        33%
      ,
        100%
      ,
        100%
      ,
        100%
      ,
        50%
      ,
        50%
      "
